image_id,x,y,class_id,confidence
S1,0.00,2114.00,0,0.4336
S1,0.00,0.00,0,0.4086
S1,2047.00,0.00,0,0.4056
S1,2047.00,2114.00,0,0.3971
S1,0.00,895.00,0,0.3800
S1,0.00,1279.00,0,0.3795
S1,0.00,2047.00,0,0.3782
S1,0.00,511.00,0,0.3760
S1,1536.00,2114.00,0,0.3747
S1,768.00,2114.00,0,0.3747
S1,384.00,2114.00,0,0.3747
S1,1152.00,2114.00,0,0.3746
S1,0.00,1603.00,0,0.3650
S1,0.00,1663.00,0,0.3647
S1,0.00,768.00,0,0.3632
S1,0.00,1152.00,0,0.3622
S1,0.00,1536.00,0,0.3559
S1,384.00,0.00,0,0.3553
S1,511.00,0.00,0,0.3552
S1,511.00,2114.00,0,0.3548
S1,1663.00,2114.00,0,0.3548
S1,895.00,2114.00,0,0.3548
S1,1279.00,2114.00,0,0.3548
S1,2047.00,384.00,0,0.3547
S1,768.00,0.00,0,0.3530
S1,1663.00,0.00,0,0.3529
S1,1152.00,0.00,0,0.3524
S1,2047.00,2047.00,0,0.3520
S1,1279.00,0.00,0,0.3506
S1,895.00,0.00,0,0.3505
S1,1536.00,0.00,0,0.3497
S1,2047.00,1536.00,0,0.3490
S1,2047.00,895.00,0,0.3487
S1,2047.00,511.00,0,0.3480
S1,0.00,1467.00,0,0.3474
S1,2047.00,1152.00,0,0.3474
S1,2047.00,1279.00,0,0.3453
S1,0.00,384.00,0,0.3452
S1,0.00,403.00,0,0.3442
S1,0.00,213.00,0,0.3427
S1,0.00,169.00,0,0.3417
S1,0.00,219.00,0,0.3411
S1,0.00,1597.00,0,0.3410
S1,2047.00,768.00,0,0.3409
S1,0.00,279.00,0,0.3408
S1,0.00,207.00,0,0.3408
S1,0.00,153.00,0,0.3407
S1,0.00,1671.00,0,0.3404
S1,0.00,409.00,0,0.3401
S1,0.00,113.00,0,0.3396
S1,0.00,201.00,0,0.3392
S1,0.00,143.00,0,0.3387
S1,0.00,299.00,0,0.3385
S1,0.00,193.00,0,0.3379
S1,0.00,289.00,0,0.3369
S1,0.00,1509.00,0,0.3366
S1,0.00,175.00,0,0.3364
S1,0.00,163.00,0,0.3361
S1,0.00,635.00,0,0.3360
S1,0.00,225.00,0,0.3357
S1,0.00,1473.00,0,0.3355
S1,0.00,311.00,0,0.3354
S1,0.00,1421.00,0,0.3351
S1,0.00,187.00,0,0.3351
S1,0.00,107.00,0,0.3346
S1,0.00,1479.00,0,0.3345
S1,0.00,131.00,0,0.3345
S1,0.00,323.00,0,0.3340
S1,0.00,259.00,0,0.3337
S1,0.00,1091.00,0,0.3335
S1,0.00,119.00,0,0.3334
S1,768.00,895.00,0,0.3331
S1,0.00,273.00,0,0.3329
S1,0.00,181.00,0,0.3327
S1,0.00,623.00,0,0.3324
S1,0.00,1739.00,0,0.3322
S1,0.00,1105.00,0,0.3319
S1,0.00,1099.00,0,0.3316
S1,0.00,615.00,0,0.3315
S1,0.00,1485.00,0,0.3311
S1,0.00,735.00,0,0.3311
S1,0.00,317.00,0,0.3308
S1,0.00,1085.00,0,0.3307
S1,0.00,1700.00,0,0.3305
S1,0.00,1615.00,0,0.3303
S1,0.00,881.00,0,0.3303
S1,0.00,947.00,0,0.3301
S1,0.00,629.00,0,0.3300
S1,0.00,1011.00,0,0.3300
S1,0.00,725.00,0,0.3300
S1,0.00,137.00,0,0.3299
S1,0.00,1327.00,0,0.3298
S1,0.00,265.00,0,0.3297
